Year,Month,Measure,Value
2015,1,Tonnes,2357000
2015,2,Tonnes,3267000
2015,3,Tonnes,3485000
2015,4,Tonnes,3483000
2015,5,Tonnes,2877000
2015,6,Tonnes,3075000
2015,7,Tonnes,2624000
2015,8,Tonnes,2434000
2015,9,Tonnes,2385000
2015,10,Tonnes,2848000
2015,11,Tonnes,2787000
2015,12,Tonnes,3430000
2016,1,Tonnes,2473000
2016,2,Tonnes,3251000
2016,3,Tonnes,3410000
2016,4,Tonnes,3316000
2016,5,Tonnes,3268000
2016,6,Tonnes,3225000
2016,7,Tonnes,3211000
2016,8,Tonnes,3594000
2016,9,Tonnes,3177000
2016,10,Tonnes,3460000
2016,11,Tonnes,3252000
2016,12,Tonnes,3506000
2017,1,Tonnes,2396000
2017,2,Tonnes,3075000
2017,3,Tonnes,3693000
2017,4,Tonnes,3689000
2017,5,Tonnes,3304000
2017,6,Tonnes,3742000
2017,7,Tonnes,3665000
2017,8,Tonnes,3518000
2017,9,Tonnes,3349000
2017,10,Tonnes,4218000
2017,11,Tonnes,4375000
2017,12,Tonnes,3983000
2018,1,Tonnes,2593000
2018,2,Tonnes,3768000
2018,3,Tonnes,4342000
2018,4,Tonnes,3870000
2018,5,Tonnes,4185000
2018,6,Tonnes,3612000
2018,7,Tonnes,4511000
2018,8,Tonnes,3936000
2018,9,Tonnes,3777000
2018,10,Tonnes,4407000
2018,11,Tonnes,4590000
2018,12,Tonnes,4087000
2019,1,Tonnes,3240000
2019,2,Tonnes,4235000
2019,3,Tonnes,5016000
2019,4,Tonnes,4158000
2019,5,Tonnes,4477000
2019,6,Tonnes,4483000
2019,7,Tonnes,4910000
2019,8,Tonnes,3799000
2019,9,Tonnes,4326000
2019,10,Tonnes,3836000
2019,11,Tonnes,4452000
2019,12,Tonnes,3992000
2020,1,Tonnes,3458000
2020,2,Tonnes,3899000
2020,3,Tonnes,3349000
2020,4,Tonnes,1694000
2020,5,Tonnes,3611000
2020,6,Tonnes,4565000
2020,7,Tonnes,4393000
2020,8,Tonnes,3964000
2020,9,Tonnes,4050000
2020,10,Tonnes,4735000
2020,11,Tonnes,4635000
2020,12,Tonnes,4192000
2021,1,Tonnes,3505000
2021,2,Tonnes,4355000
2021,3,Tonnes,5039000
2021,4,Tonnes,4652000
2021,5,Tonnes,4805000
2021,6,Tonnes,4793000
2021,7,Tonnes,5012000
2021,8,Tonnes,4040000
2021,9,Tonnes,2969000
2021,10,Tonnes,4505000
2021,11,Tonnes,4153000
2021,12,Tonnes,2220000
